"Name","ID","Odo / Hours / Hubo","Next Service Due","RUC Due","WoF Due","Rego Due","Location"
"101 - JLM368 - Hiace","101","371695 km","375000 km","388652
km","16/11/2023","24/11/2023","South-Western Mwy, Mount Roskill, Auckland"
"102 - LGH14 - Hiace","","421680 km","435000 km","436000
km","30/04/2024","19/03/2024","Subway Rd, Papakura"
"103 - LPB86 - Hiace","103","293432 km","294500 km","301948
km","10/08/2024","15/08/2024","Auckland Auto Air"
"104 - LPB87 -  Hiace","104","271754 km","283600 km","288404
km","13/09/2023","15/08/2024","Produce Pronto AKL Depot"
"105 - LPK832 - Hiace","105","297408 km","314404 km","308892
km","23/08/2024","26/08/2024","Produce Pronto AKL Depot"
"106 - KBW622 - KK Hiace (small chiller)","106","250906 km","260000 km","268000
km","30/11/2023","22/01/2024","40-48 Downing Street, Glenfield, Auckland"
"107 - LZN203 - Transit","107","194732 km","200000 km","204390
km","28/08/2024","26/02/2024","313 Rosebank Road, Avondale, Auckland"
"110 - PHK242 - Sprinter","110","101838 km


/ 101763 km","120000 km","111000
km","13/09/2023","28/06/2024","Produce Pronto AKL Depot"
"111 - NLS732 - Sprinter","111","216872 km


/ 172815 km","225575 km","180002
km","29/07/2023","28/04/2024","Produce Pronto AKL Depot"
"112 - NNG481 - Sprinter","112","219770 km


/ 222536 km","248459 km","236167
km","25/11/2023","31/05/2024","Produce Pronto AKL Depot"
"115 - NRG53 - Sprinter","115","221580 km","225310 km","231000
km","16/09/2023","27/07/2024","Prima Deli Depot"
"116 - PNQ294 - Sprinter","","43197 km


/ 43220 km","40000 km","51000
km","24/10/2023","20/10/2023","Produce Pronto AKL Depot"
"117 - PPT252 - SPRINTER","","40134 km


/ 40122 km","40000 km","51000
km","22/11/2023","21/11/2023","Produce Pronto AKL Depot"
"118 - PPT251 - Sprinter","","28453 km


/ 28450 km","30000 km","41000
km","26/11/2023","21/11/2023","Produce Pronto AKL Depot"
"201 - NQE185 - Sprinter WLG","201","165953 km","175000 km","181110
km","16/09/2023","07/07/2024","WLG Truck Parking"
"202 - LMZ837 - Hiace","202","477991 km","473000 km","491577
km","11/05/2024","01/08/2024","Jamaica Dr, Grenada North, Wellington"
"203 - MWG556 - Sprinter","203","353748 km","357000 km","368094
km","16/02/2024","11/12/2023","SH 3, Waverley"
"204 - LPK831 - Hiace","204","425967 km","432000 km","440308
km","25/08/2023","26/08/2024","16 Prosser Street, Elsdon, Porirua"
"205 - NDU364 - Sprinter","205","261597 km


/ 94558 km","262000 km","106169
km","22/11/2023","05/11/2023","WLG Truck Parking"
"220 - NBU574 - DAF","220","80163 km


/ 79536 km","80000 km","93665
km","18/01/2024","15/09/2023","Air NZ Cargo - Auckland"
"301 - MET814 - Hiace","301","636418 km","636000 km","656005
km","20/07/2024","20/06/2024","Big Chill CHCH"
"302 - LMZ835 - Hiace","302","425625 km","431500 km","436504
km","04/08/2023","01/08/2024","Big Chill CHCH"
"303 - NEF984 - Sprinter","303","164324 km","158207 km","178496
km","28/12/2022","25/11/2023","Big Chill CHCH"
"305 - MNW157 - Sprinter","108","296595 km","278828 km","300009
km","23/02/2023","11/12/2023","Big Chill CHCH"
"306 - NPR791- Sprinter","113","204514 km


/ 204531 km","236534 km","216000
km","27/07/2023","29/06/2024","Big Chill CHCH"
